danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,groups
0.607,0.73,9,-4.959,1,0.0319,0.0711,1.68e-05,0.144,0.846,140.216,176320,4,4KeZfJttf0loFaZSZUo4tm,11
0.736,0.833,6,-4.864,0,0.0372,0.24,0.0,0.126,0.939,119.938,248787,4,3mNR11M9RLdJbQRxCl6tni,38
0.622,0.738,2,-9.104,1,0.0812,0.135,3.17e-05,0.998,0.445,96.188,279267,4,4K5VWbubw4TDv4PGAxAboX,68
0.136,0.91,2,-3.663,1,0.0838,0.0857,1.1e-06,0.161,0.448,182.504,291187,4,6YHhixKdCGn0a2rqMDENaw,49
0.48,0.532,11,-10.981,0,0.0367,0.00228,0.00389,0.109,0.432,75.738,217427,4,2Ncfpqb7l7oCEcGtoFrsl6,17
0.528,0.897,2,-5.943,1,0.0589,0.00134,0.0,0.19,0.29,125.009,211733,4,4j08A1efdJcVINBHSmQKPS,43
0.565,0.925,2,-5.79,1,0.0965,0.0108,0.0,0.15,0.644,101.785,159093,4,32tWDn75pSPuefjz50Mek3,5
0.525,0.729,0,-5.265,1,0.0724,0.153,0.0,0.176,0.467,108.606,235573,4,10sHs5JeqcXeKfcg9xikQQ,41
0.6,0.879,7,-4.832,1,0.283,0.225,0.0,0.0496,0.534,156.04,288880,4,3rMqrgLVwCl2csrI8qh9jt,16
0.239,0.89,0,-4.229,1,0.054,9.87e-05,0.0,0.133,0.421,203.329,179893,4,08J0BMiwXFjlpxEZm1QJkZ,28
0.62,0.983,2,-4.202,1,0.0425,0.00653,2.27e-05,0.0857,0.77,127.448,242280,4,5xr25HYNmWZ0tb08lT41u0,55
0.381,0.91,0,-4.349,1,0.0478,0.13,0.0,0.162,0.563,78.315,216267,4,2vDDxjDdkF3230Jla9wvHb,56
0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,212161,4,70gbuMqwNBE2Y5rkQJE9By,18
0.554,0.855,7,-6.711,1,0.0407,0.000625,5.16e-06,0.327,0.898,146.04,196920,4,3lILuFinx7CFaYXJ6FWz54,30
0.421,0.848,4,-6.3,1,0.0347,3.37e-05,0.000159,0.0775,0.658,175.665,200640,4,5lgOUdoMBB3eZuSmc5HL4r,22
0.711,0.202,3,-20.434,1,0.0323,0.473,0.00211,0.111,0.73,123.939,282987,4,6ncWIvMRHRDKSKFnPpc8Vu,31
0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4,4o6BgsqLIBViaGVbx5rbRk,37
0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,236307,4,3bHhUEOTIbezeZ856R0BX5,41
0.661,0.61,8,-9.824,1,0.0707,0.777,0.0,0.0475,0.452,96.402,303400,4,2BOcua9pjhKuVtgN40AAHX,0
0.33,0.819,6,-7.239,1,0.0473,0.0126,0.0,0.154,0.796,182.001,204667,4,51X6Y8fognb2xbclhpq9zH,39
0.524,0.559,0,-9.2,1,0.361,0.308,1.23e-05,0.985,0.326,75.876,207480,4,00MmJraiM6d7AINTYB5Xid,81
0.509,0.936,11,-3.832,1,0.0651,0.0225,0.0,0.159,0.706,190.031,157267,4,3Ul2J7mhUaMSNFdHEtJetw,66
0.6,0.786,0,-5.898,1,0.0303,0.00763,0.000117,0.101,0.564,143.856,241467,4,0hb2MlMAYxTEcETS1Fifst,55
0.703,0.922,0,-4.514,1,0.0479,0.161,0.0,0.116,0.781,141.961,174107,4,0KKist1jJYO17nOqtO1sb2,65
0.451,0.792,1,-6.831,1,0.0511,0.15,0.0,0.0896,0.529,165.322,160720,4,0lNl9o8iEajbUMLxTOvNu1,5
0.27,0.777,7,-7.899,1,0.061,0.000132,0.00351,0.0836,0.752,204.922,209360,4,1B2WTE7h8EJq03pzY5y40K,9
0.575,0.879,7,-5.603,1,0.104,0.31,0.0,0.0612,0.729,167.949,182827,4,2gdeLvrqzFQrTzoqHbh0LB,77
0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,255133,4,6WK9dVrRABMkUXFLNlgWFh,48
0.649,0.622,9,-6.781,0,0.0373,0.156,4.29e-06,0.11,0.62,76.478,168640,4,6uFwhB7gVs7ExCAfJD5BWg,19
0.626,0.202,4,-12.963,1,0.0316,0.772,0.0,0.116,0.554,108.883,221693,4,7JQet6yCd8rZX3oeVGqAyx,64
0.484,0.414,7,-10.377,1,0.0335,0.284,0.0,0.119,0.467,143.57,186693,4,1goUT7yXysKORNNkcxtpxk,3
0.501,0.987,7,-2.914,1,0.116,0.0163,2.17e-05,0.184,0.418,149.952,200893,4,6qxpzKPmnYEetfTV7upw1V,74
0.3,0.816,11,-11.512,0,0.098,0.00121,0.0366,0.171,0.634,196.378,96347,4,51wZeWdtnIHtnvnAlXlonu,45
0.193,0.799,11,-11.129,0,0.133,0.000158,5.54e-05,0.108,0.667,172.441,119693,4,79CSCjcf1vNJ7kdHHVmi3R,12
0.787,0.567,0,-4.767,1,0.179,0.0693,0.0,0.161,0.917,133.914,153413,4,7ee1XEOzZgzTQWNaiHZvKY,42
0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,216707,4,2EM9zpAc7PVeoAydmbfVIL,56
0.68,0.594,6,-6.417,0,0.0688,0.469,0.0,0.431,0.774,85.04,149173,4,51R2M1JgyFfRS3e6v5wCt3,42
0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,158427,4,00SmB7n85SKROGjybsyq5i,66
0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239987,4,6b37xrsNCWYIUphFBazqD6,15
0.76,0.579,5,-5.079,0,0.0388,0.00715,0.000679,0.0304,0.975,99.979,223187,4,1leXuBiWQMgbvOIIedqbLB,29
0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790,5,6Z8R6UsFuGXGtiIxiD8ISb,2
0.742,0.689,6,-5.889,0,0.0495,0.308,0.000344,0.389,0.73,90.973,222418,4,6T5ACM2wNQ0w1OptHMpsCD,64
0.637,0.714,6,-4.273,1,0.0279,0.0258,0.0,0.11,0.931,131.789,197027,4,5IAnpcduSb35yKUKsUVjP9,30
0.526,0.851,2,-5.128,1,0.0458,0.0142,0.251,0.111,0.499,110.104,227147,4,0uFBtCRA9ZkL9KmElxz6Lt,67
0.438,0.558,0,-6.479,1,0.031,0.0438,5.41e-06,0.604,0.225,80.602,309280,4,4JUEYZ2yBfHsB1W9yhJmDF,79
0.779,0.447,8,-8.127,1,0.0361,0.634,0.000897,0.0728,0.776,100.016,194142,4,3z0gMr1mwuFNiD1maIAsNj,2
0.523,0.626,0,-9.425,1,0.0523,0.155,0.0,0.0869,0.917,134.127,214867,4,383Xl5QTigwj3QiA3Qc6S7,34
0.196,0.941,2,-4.016,1,0.0814,0.0114,0.0108,0.15,0.58,71.903,144800,4,1EXfR9HR6cM1y6qagNQW4g,25
0.521,0.297,2,-7.022,1,0.0351,0.732,0.0,0.273,0.517,118.681,123667,4,4BVzMXl6fgEC82DpjTZD0T,12
0.39,0.914,2,-4.143,1,0.0759,0.0574,5.18e-05,0.108,0.344,104.259,246867,4,0OUKJBWS2IhHmVIxACwZzp,83
0.521,0.297,2,-7.022,1,0.0351,0.732,0.0,0.273,0.517,118.681,123667,4,3USOTQdPtZlgVurwaqsdI5,12
0.501,0.796,0,-4.599,1,0.104,0.107,0.000974,0.539,0.582,130.719,254347,4,7lFgli7y2vo7sjgynHZzBP,48
0.365,0.767,9,-6.185,0,0.0681,0.181,0.000856,0.0942,0.422,94.174,248053,4,6crBy2sODw2HS53xquM6us,38
0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,216680,3,2TktkzfozZifbQhXjT6I33,56
0.295,0.899,9,-1.733,1,0.0965,0.000715,0.000253,0.364,0.826,179.209,118653,4,6XelYgwWSqRpwMs15BgGYM,12
0.64,0.833,4,-5.543,1,0.0304,0.00283,0.0,0.255,0.871,126.069,153840,4,0avaVpOJTKyV87oMmjVMXw,42
0.626,0.955,6,-4.466,0,0.0766,0.0404,0.0,0.256,0.969,172.597,144133,4,4jjnhkhjaZHp3OtKbyR5f1,25
0.558,0.921,0,-6.849,1,0.0478,0.00217,0.000175,0.389,0.825,105.778,133520,4,2PEBsyLqTdWbsb5I6EpqMa,53
0.544,0.843,1,-5.052,1,0.0942,0.126,0.0,0.357,0.796,168.044,218487,4,1nUeBKMsacPjvE3aczMHnG,17
0.504,0.977,7,-4.968,1,0.067,0.00928,0.0,0.269,0.531,101.268,149333,4,55CdJt5NnG07dKs3wrdduv,42
0.618,0.737,1,-5.683,1,0.142,0.00506,1.56e-06,0.186,0.512,79.235,221520,4,5ZsjDfALqeCuvWRWQzMgPT,7
0.539,0.915,1,-3.221,1,0.0367,0.00268,2.93e-06,0.0667,0.641,147.974,203187,4,1WBCYWcYg3ioGK3mlt0JD1,80
0.463,0.981,10,-3.922,1,0.18,7.37e-05,0.0,0.102,0.703,153.048,222560,4,4DJLcyfnyEGlUejAEAX4az,64
0.568,0.971,7,-3.478,1,0.0543,0.0518,4.24e-05,0.265,0.778,139.27,241333,4,07qJ3q0PCBU1uVI6sL4JWX,55
0.614,0.901,0,-4.906,1,0.0666,0.0267,1.94e-06,0.261,0.636,94.865,298533,4,5zsePddkJkLpwUzP4YBGMK,54
0.626,0.715,11,-4.023,1,0.058,0.119,5.16e-06,0.124,0.573,135.034,234213,4,1rdkG7R3dHS2RI4Akk00zq,13
0.551,0.965,0,-2.772,1,0.0452,0.00576,0.0,0.171,0.708,137.841,168227,4,4qjfQnccStTR8zNsb6Mizo,19
0.399,0.838,4,-6.679,1,0.102,0.00127,0.0,0.576,0.747,116.911,191293,4,60Ih7J2Q1o9shvMC2OAALu,37
0.531,0.833,9,-3.322,1,0.0341,0.00354,0.0,0.11,0.458,121.006,261547,4,5e98T1c3DO4dJWpPufhHTy,24
0.459,0.913,7,-3.903,1,0.048,0.000342,0.00113,0.124,0.806,177.984,137080,4,1lXgfyQsOfwtGE26Hh9jXb,53
0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,189187,4,3kZC0ZmFWrEHdUCmUqlvgZ,20
0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,350862,4,0mJQlCl9YgxW7kyeltNiVk,10
0.279,0.902,9,-6.321,1,0.0988,0.121,0.274,0.104,0.482,89.392,170413,4,53T9Fc3HDEaLaB90oEDEvb,19
0.802,0.691,6,-6.973,0,0.0466,0.0989,2.29e-06,0.277,0.452,97.021,154507,4,0VcWp30A3hSJrPjdDEHeNE,42
0.462,0.538,0,-5.527,1,0.059,0.0137,0.0,0.429,0.405,139.256,203507,4,1BECwm5qkaBwlbfo4kpYx8,80
0.269,0.895,9,-6.382,1,0.118,0.083,0.00266,0.153,0.16,168.479,299507,4,02lTDOxHeXTHsdwXoz6lpC,54
0.686,0.568,2,-6.196,1,0.0568,0.12,0.0,0.0991,0.486,122.969,274507,4,1sV6bR42OhPi2PL7ZPHLNi,47
0.508,0.673,7,-4.581,1,0.0335,0.103,0.0,0.097,0.633,80.959,245093,4,0M2esSxcdB6gTEeXYg7Ynq,26
0.68,0.666,9,-6.953,1,0.115,0.0694,0.0,0.157,0.789,151.995,222920,4,1SLWLZPU1gP4UbJ7RniOFq,29
0.588,0.833,10,-5.875,1,0.0298,0.0157,0.0,0.0828,0.31,117.997,269009,4,4YHMkY9mrGvHN9PRhrCb2J,40
0.552,0.932,0,-3.782,1,0.0426,0.000102,0.0,0.119,0.518,103.108,227200,4,24CRDgNOgA72JLL7PHFjgB,67
0.218,0.921,7,-4.414,1,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,166733,4,1PRknVhZ6BsVX61MPrrVsV,69
0.479,0.892,9,-5.167,1,0.0561,0.000295,6.31e-05,0.067,0.416,156.086,199707,4,1bvbL0HbprbpwmzwaZczr2,73
0.565,0.947,0,-4.941,1,0.0479,0.000348,0.0,0.399,0.587,100.002,200360,4,4M4taWkQGn3FcbH6tnH6mx,22
0.58,0.93,2,-5.17,1,0.0618,0.00236,5.5e-05,0.0768,0.285,106.022,263573,4,28yCMEplHbodvR19Aipah8,72
0.541,0.889,9,-3.997,1,0.049,0.00642,1.71e-05,0.02,0.902,167.995,206867,4,29bWDkf8qtCmsvDWOW55CJ,81
0.261,0.822,2,-8.288,1,0.0358,0.000124,0.000344,0.0919,0.32,103.213,194960,4,3gVXAW2pduBl7tzjAGUVRb,57
0.723,0.973,4,-4.228,1,0.108,0.0238,0.0265,0.971,0.448,95.351,182760,4,4Cc3EFF6p3P6sP3zHRKzbv,77
0.782,0.752,7,-8.059,1,0.16,0.098,0.0,0.0764,0.505,92.791,186507,4,6dm85wL8pJKTPcNvuCgFcy,3
0.486,0.573,0,-8.695,1,0.038,0.056,0.0,0.143,0.904,98.424,220693,4,7rDOSQkStxj28M4GRM6Xbs,7
0.481,0.88,4,-1.108,1,0.176,0.00305,0.642,0.13,0.961,156.859,151960,4,55mKuESqpfgqe0kooIkTH2,42
0.371,0.549,9,-7.796,1,0.0339,0.0107,0.0,0.203,0.281,105.111,109533,4,725Fnv5ds0T4FnenbzD2td,45
0.466,0.96,0,-3.888,1,0.0543,0.000481,0.0,0.37,0.907,104.753,123000,4,7bFNtX22XJMy5TuEpQfa3C,12
0.527,0.329,9,-8.83,1,0.0291,0.825,0.0,0.335,0.128,104.977,240507,3,2i17YXd93A17BSsut23gEa,15
0.56,0.404,5,-8.817,1,0.0357,0.21,0.00049,0.197,0.157,145.612,177533,4,1JyG5yuwpN0VIi4wbqvDfB,50
0.622,0.45,0,-6.304,0,0.0274,0.518,0.0,0.143,0.178,137.931,236347,4,7aLtOxVOUahFU8fO25hWoH,41
0.708,0.674,11,-7.434,1,0.107,0.137,0.0,0.258,0.736,152.051,180902,4,4Dmav01B2Fra0U4VYPPq4d,28
0.494,0.553,5,-5.57,1,0.197,0.413,4.17e-05,0.218,0.359,82.061,172756,4,0fVDu1evgjX9CFD0cmuRrM,36
0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4,2DB4DdfCFMw1iaR6JaR03a,23
0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4,1QEEqeFIZktqIpPI4jSVSF,63
0.577,0.688,6,-8.735,1,0.032,0.109,2.78e-06,0.0788,0.843,81.032,225080,4,19nAFg6Mb6jXN3yxPC2sSk,6
0.494,0.936,11,-7.195,0,0.0398,0.0112,0.000693,0.276,0.834,107.543,224480,4,5EugXICXL06waHgP4iTI58,78
0.419,0.783,5,-14.785,1,0.0577,0.00161,0.00048,0.107,0.702,193.196,130133,4,3HA8pLvjBGoBpDJbaLjFNo,53
0.538,0.467,2,-9.589,1,0.0327,0.637,0.0,0.115,0.507,111.766,203133,4,0oUBuOO4g9P4lREqfqR5nq,80
0.477,0.74,9,-5.397,1,0.0446,0.502,1.31e-06,0.263,0.56,107.384,266560,4,1hJrWWK74fKL7eeV3CFOvF,40
0.402,0.691,7,-10.274,1,0.0691,0.0679,0.133,0.0955,0.206,96.95,290934,4,2eDdFHgqNJltzlvlZFVDWd,49
0.667,0.605,5,-5.683,1,0.0258,0.504,0.014,0.246,0.69,94.346,263960,4,4OSZGBSgURF74RO0dRA8HY,72
0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,265173,4,77oU2rjC5XbjQfNe3bD6so,72
0.57,0.798,2,-6.136,1,0.036,0.079,2.87e-05,0.086,0.149,105.001,302040,4,5X3idhF42DgoGVn7zgCNQi,0
0.418,0.383,4,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773,257480,4,5jafMI8FLibnjkYTZ33m0c,4
0.688,0.284,4,-13.577,1,0.0574,0.359,0.0,0.127,0.482,83.433,208080,4,0eifvmNPHWaSh4IKNR4Xva,21
0.418,0.945,4,-5.406,1,0.118,0.0991,0.0123,0.23,0.696,181.174,194760,4,1ru5R5iSawvuMELqKXxLjS,57
0.617,0.84,4,-4.063,1,0.0512,0.36,8.85e-05,0.179,0.57,94.676,241840,4,3LI4MmibTkXH5cGpCGZgyw,55
0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373,4,5g7rJvWYVrloJZwKiShqlS,68
0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4,2ihCaVdNZmnHZWt0fvAM7B,40
0.486,0.769,1,-5.14,1,0.0341,0.0119,0.00832,0.197,0.393,131.286,276720,4,4kbYevkszYmMhoQcwnR7cZ,47
0.379,0.878,1,-4.338,0,0.0359,0.042,0.00431,0.146,0.381,102.023,211453,4,3SPVZJzf1Hs30rB6yXVf2y,43
0.621,0.238,6,-10.18,1,0.028,0.925,1.22e-06,0.124,0.321,97.211,273573,4,5Yx5PhdnwhNzLMBl34TZw4,14
0.589,0.432,10,-14.089,0,0.0361,0.00919,0.195,0.0949,0.605,124.084,290733,4,1d9KF847JVwN14mR4zBe8l,16
0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,315200,4,2UWdUez9MB9yzL7Y81Mcip,79
0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4,7nnWIPM5hwE3DaUBkvOIpy,61
0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,170907,4,3B4q6KbHbGV51HO3GznBFF,36
0.394,0.743,9,-3.227,1,0.0305,0.0284,4.9e-06,0.0826,0.188,78.508,195533,4,178WtqxTWgieTGtt7yOtdR,57
0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,268360,4,42et6fnHCw1HIPSrdPprMl,40
0.73,0.445,6,-8.376,0,0.0446,0.142,0.00109,0.107,0.075,105.976,280131,4,1VSngtLdJhrlfHkLxTyOXK,68
0.521,0.487,0,-10.259,1,0.042,0.724,0.00141,0.196,0.657,176.038,303547,4,6QF3vavxEItY8ru6DcL9N2,0
0.762,0.484,11,-12.368,0,0.0311,0.812,0.389,0.0841,0.415,122.916,201947,4,5UBBJnFxsfjFxfrtvErQoH,1
0.475,0.885,11,-4.735,0,0.0533,2.24e-05,9.93e-05,0.279,0.413,133.951,159651,4,66bLKGXOk3kPWWHP7Tbrki,5
0.566,0.617,10,-4.166,1,0.035,0.0146,0.0,0.128,0.23,119.945,207775,4,3erMpGAv6cGCEcYcaE19p1,81
0.723,0.801,0,-3.413,1,0.0623,0.369,1.47e-05,0.194,0.738,109.0,176280,4,5qJOKIrlNVOe4QdhJHS2di,11
0.606,0.848,9,-4.228,1,0.0549,0.00101,1.61e-06,0.318,0.863,154.043,186418,5,2fQE3IKIgFAuUsuD4rWvjq,3
0.635,0.67,11,-5.922,0,0.0299,0.00709,0.0,0.123,0.414,95.997,214463,4,2XmcVGC8s33zjG2aeVTnFe,34
0.769,0.663,1,-5.649,0,0.0395,0.0943,1.12e-06,0.133,0.46,94.966,152470,4,5PXdLJJWQJTOpfHdPkMsOw,42
0.573,0.755,11,-6.472,1,0.246,0.0249,1.08e-05,0.209,0.77,154.719,181043,4,5H2S5j4118NviHkRZLUndn,60
0.526,0.857,9,-5.718,1,0.171,0.0114,0.0,0.0816,0.551,159.841,129056,4,7yYDTV3VQ322o8r4wcYlqZ,53
0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951,148847,4,2z7VITS30dBexE91V5QXWv,42
0.743,0.659,10,-6.755,1,0.0343,0.0998,0.00028,0.0622,0.804,114.033,255160,4,0L87MffumRNWrY2SNUFcvs,48
0.811,0.592,5,-10.62,1,0.0406,0.155,2e-05,0.194,0.937,124.135,225040,4,5lb54B539C4KACYuQg0o8H,6
0.456,0.69,0,-8.092,1,0.0448,0.0215,0.0,0.0992,0.512,77.66,219027,4,2e9OK4HiyXyAH5oEtaxnIc,70
0.503,0.722,7,-5.813,1,0.0248,0.00214,8.15e-06,0.116,0.616,99.966,230987,4,64n3vgI6JuqMv7F2H7kYdX,33
0.464,0.824,10,-7.359,1,0.0374,0.467,0.018,0.33,0.539,109.298,253720,4,6KOtheMY0KN4s9TrQHr9It,75
0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,174760,4,5Ts1DYOuouQLgzTaisxWYh,65
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4,0ofHAoxe9vBkTCp2UQIavz,71
0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.918,190348,4,3n5te2xbUAPjzAnhLgA42z,37
0.796,0.334,5,-11.626,1,0.172,0.387,0.0,0.206,0.278,135.01,203258,4,7pNcOZGxBHXuNKT2YUABzr,80
