danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,3rKYiySCDMUKTw5kGVVhaa,190453,4
0.688,0.782,11,-3.683,1,0.158,0.152,0.0,0.803,0.453,146.324,222dTwr5XeEgAzEtsrQA0R,343032,4
0.607,0.73,9,-4.959,1,0.0319,0.0711,1.68e-05,0.144,0.846,140.216,4KeZfJttf0loFaZSZUo4tm,176320,4
0.736,0.833,6,-4.864,0,0.0372,0.24,0.0,0.126,0.939,119.938,3mNR11M9RLdJbQRxCl6tni,248787,4
0.622,0.738,2,-9.104,1,0.0812,0.135,3.17e-05,0.998,0.445,96.188,4K5VWbubw4TDv4PGAxAboX,279267,4
0.136,0.91,2,-3.663,1,0.0838,0.0857,1.1e-06,0.161,0.448,182.504,6YHhixKdCGn0a2rqMDENaw,291187,4
0.48,0.532,11,-10.981,0,0.0367,0.00228,0.00389,0.109,0.432,75.738,2Ncfpqb7l7oCEcGtoFrsl6,217427,4
0.528,0.897,2,-5.943,1,0.0589,0.00134,0.0,0.19,0.29,125.009,4j08A1efdJcVINBHSmQKPS,211733,4
0.565,0.925,2,-5.79,1,0.0965,0.0108,0.0,0.15,0.644,101.785,32tWDn75pSPuefjz50Mek3,159093,4
0.525,0.729,0,-5.265,1,0.0724,0.153,0.0,0.176,0.467,108.606,10sHs5JeqcXeKfcg9xikQQ,235573,4
0.6,0.879,7,-4.832,1,0.283,0.225,0.0,0.0496,0.534,156.04,3rMqrgLVwCl2csrI8qh9jt,288880,4
0.239,0.89,0,-4.229,1,0.054,9.87e-05,0.0,0.133,0.421,203.329,08J0BMiwXFjlpxEZm1QJkZ,179893,4
0.62,0.983,2,-4.202,1,0.0425,0.00653,2.27e-05,0.0857,0.77,127.448,5xr25HYNmWZ0tb08lT41u0,242280,4
0.381,0.91,0,-4.349,1,0.0478,0.13,0.0,0.162,0.563,78.315,2vDDxjDdkF3230Jla9wvHb,216267,4
0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,70gbuMqwNBE2Y5rkQJE9By,212161,4
0.554,0.855,7,-6.711,1,0.0407,0.000625,5.16e-06,0.327,0.898,146.04,3lILuFinx7CFaYXJ6FWz54,196920,4
0.421,0.848,4,-6.3,1,0.0347,3.37e-05,0.000159,0.0775,0.658,175.665,5lgOUdoMBB3eZuSmc5HL4r,200640,4
0.711,0.202,3,-20.434,1,0.0323,0.473,0.00211,0.111,0.73,123.939,6ncWIvMRHRDKSKFnPpc8Vu,282987,4
0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4o6BgsqLIBViaGVbx5rbRk,190627,4
0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,3bHhUEOTIbezeZ856R0BX5,236307,4
0.661,0.61,8,-9.824,1,0.0707,0.777,0.0,0.0475,0.452,96.402,2BOcua9pjhKuVtgN40AAHX,303400,4
0.33,0.819,6,-7.239,1,0.0473,0.0126,0.0,0.154,0.796,182.001,51X6Y8fognb2xbclhpq9zH,204667,4
0.524,0.559,0,-9.2,1,0.361,0.308,1.23e-05,0.985,0.326,75.876,00MmJraiM6d7AINTYB5Xid,207480,4
0.509,0.936,11,-3.832,1,0.0651,0.0225,0.0,0.159,0.706,190.031,3Ul2J7mhUaMSNFdHEtJetw,157267,4
0.6,0.786,0,-5.898,1,0.0303,0.00763,0.000117,0.101,0.564,143.856,0hb2MlMAYxTEcETS1Fifst,241467,4
0.703,0.922,0,-4.514,1,0.0479,0.161,0.0,0.116,0.781,141.961,0KKist1jJYO17nOqtO1sb2,174107,4
0.451,0.792,1,-6.831,1,0.0511,0.15,0.0,0.0896,0.529,165.322,0lNl9o8iEajbUMLxTOvNu1,160720,4
0.27,0.777,7,-7.899,1,0.061,0.000132,0.00351,0.0836,0.752,204.922,1B2WTE7h8EJq03pzY5y40K,209360,4
0.575,0.879,7,-5.603,1,0.104,0.31,0.0,0.0612,0.729,167.949,2gdeLvrqzFQrTzoqHbh0LB,182827,4
0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,6WK9dVrRABMkUXFLNlgWFh,255133,4
